Sr No,Date,Trek
1,25 Nov 2015.,Rajmachi Fort 
2,6 July 2016.,Korigad  Fort
3,18 June 2017.,Ghangad Fort
4,9 Sept 2017.,Dharmaveergad  Fort and Rehkuri 
5,28  Oct 2017.,Nilkantheshwar 
6,29 Dec 2017.,Tikona Fort  
7, 28 July 2018.,Lalwadi Waterfalls
8,26  Jan 2019.,Vetal Tekadi
9,12 Feb 2019.,Dhak  Bahiri
10,10 Mar 2019.,Tung Fort
11, 12 Aug 2019.,Bhor and Bhatgar Dam
12,15 Aug 2019.,Hanuman Tekadi
13,2 Oct 2019.,Raireshwar Fort
14,10 Oct 2020.,Bhamchandra Caves 
15, 28 Nov 2021.,Khed-Shivapur
16, 8-9 Jan 2022.,Railingi Pathar
17, 30 Oct 2022.,Rohida Fort
18,5 Mar 2023.,K2S
19,17 Jul 2023.,Lingya Ghat
20,14-Dec-24,Hathi Matha
